song_title,composer,milliseconds,bytes
Macô,Chico Science,249600,8253934
Um Passeio No Mundo Livre,Chico Science,240091,7984291
Samba Do Lado,Chico Science,227317,7541688
Maracatu Atômico,Chico Science,284264,9670057
O Encontro De Isaac Asimov Com Santos Dumont No Céu,Chico Science,99108,3240816
Corpo De Lama,Chico Science,232672,7714954
Sobremesa,Chico Science,240091,7960868
Manguetown,Chico Science,194560,6475159
Um Satélite Na Cabeça,Chico Science,126615,4272821
Baião Ambiental [Instrumental],Chico Science,152659,5198539
Sangue De Bairro,Chico Science,132231,4415557
Enquanto O Mundo Explode,Chico Science,88764,2968650
Interlude Zumbi,Chico Science,71627,2408550
Criança De Domingo,Chico Science,208222,6984813
Amor De Muito,Chico Science,175333,5881293
Samidarish [Instrumental],Chico Science,272431,8911641
Maracatu Atômico [Atomic Version],Chico Science,273084,9019677
Maracatu Atômico [Ragga Mix],Chico Science,210155,6986421
Maracatu Atômico [Trip Hop],Chico Science,221492,7380787
Banditismo Por Uma Questa,,307095,10251097
Banditismo Por Uma Questa,,243644,8147224
Rios Pontes & Overdrives,,286720,9659152
Cidade,,216346,7241817
Praiera,,183640,6172781
Samba Makossa,,271856,9095410
Da Lama Ao Caos,,251559,8378065
Maracatu De Tiro Certeiro,,88868,2901397
Salustiano Song,,215405,7183969
Antene Se,,248372,8253618
Risoflora,,105586,3536938
Lixo Do Mangue,,193253,6534200
Computadores Fazem Arte,,404323,13702771
Girassol,Bino Farias/Da Gama/Lazão/Pedro Luis/Toni Garrido,249808,8327676
A Sombra Da Maldade,Da Gama/Toni Garrido,230922,7697230
Johnny B. Goode,Chuck Berry,254615,8505985
Soldado Da Paz,Herbert Vianna,194220,6455080
Firmamento,Bino Farias/Da Gama/Henry Lawes/Lazão/Toni Garrido/Winston Foser-Vers,222145,7402658
Extra,Gilberto Gil,304352,10078050
O Erê,Bernardo Vilhena/Bino Farias/Da Gama/Lazão/Toni Garrido,236382,7866924
Podes Crer,Bino Farias/Da Gama/Lazão/Toni Garrido,232280,7747747
A Estrada,Bino Farias/Da Gama/Lazão/Toni Garrido,248842,8275673
Berlim,Da Gama/Toni Garrido,207542,6920424
Já Foi,Bino Farias/Da Gama/Lazão/Toni Garrido,221544,7388466
Onde Você Mora?,Marisa Monte/Nando Reis,256026,8502588
Pensamento,Bino Farias/Da Gamma/Lazão/Rás Bernard,173008,5748424
Conciliação,Da Gama/Lazão/Rás Bernardo,257619,8552474
Realidade Virtual,Bino Farias/Da Gama/Lazão/Toni Garrido,195239,6503533
Mensagem,Bino Farias/Da Gama/Lazão/Rás Bernardo,225332,7488852
A Cor Do Sol,Bernardo Vilhena/Da Gama/Lazão,231392,7663348
Onde Você Mora?,Marisa Monte/Nando Reis,298396,10056970
O Erê,Bernardo Vilhena/Bino/Da Gama/Lazao/Toni Garrido,206942,6950332
A Sombra Da Maldade,Da Gama/Toni Garrido,285231,9544383
A Estrada,Da Gama/Lazao/Toni Garrido,282174,9344477
Falar A Verdade,Bino/Da Gama/Ras Bernardo,244950,8189093
Firmamento,Harry Lawes/Winston Foster-Vers,225488,7507866
Pensamento,Bino/Da Gama/Ras Bernardo,192391,6399761
Realidade Virtual,Bino/Da Gamma/Lazao/Toni Garrido,240300,8069934
Doutor,Bino/Da Gama/Toni Garrido,178155,5950952
