awardYear,category,prizeAmount,prizeAmountAdjusted,name,gender,birth_continent
2014,Chemistry,8000000,8379888,William E. Moerner,male,North America
1949,Chemistry,156290,2930438,William F. Giauque,male,North America
1990,Economic Sciences,4000000,6329114,William F. Sharpe,male,North America
1949,Literature,156290,2930438,William Faulkner,male,North America
2019,Physiology or Medicine,9000000,9000000,William G. Kaelin Jr,male,North America
1983,Literature,1500000,3715324,William Golding,male,Europe
1972,Chemistry,480000,3345725,William H. Stein,male,North America
2001,Chemistry,10000000,12295082,William Knowles,male,North America
1976,Chemistry,681000,3342605,William Lipscomb,male,North America
1934,Physiology or Medicine,162608,5167627,William P. Murphy,male,North America
1996,Economic Sciences,7400000,9490424,William Vickrey,male,North America
1955,Physics,190214,2681588,Willis E. Lamb,male,North America
1971,Peace,450000,3321850,Willy Brandt,male,Europe
1953,Literature,175293,2567769,Winston Churchill,male,Europe
1996,Literature,7400000,9490424,Wislawa Szymborska,female,Europe
1924,Literature,116719,3218355,Wladyslaw Reymont,male,Europe
1986,Literature,2000000,4098361,Wole Soyinka,male,Africa
2001,Physics,10000000,12295082,Wolfgang Ketterle,male,Europe
1989,Physics,3000000,5242311,Wolfgang Paul,male,Europe
1945,Physics,121333,2499993,Wolfgang Pauli,male,Europe
1919,Peace,133127,2377268,Woodrow Wilson,male,North America
1994,Peace,7000000,9249471,Yasser Arafat,male,Africa
1968,Literature,350000,3052326,Yasunari Kawabata,male,Asia
1994,Peace,7000000,9249471,Yitzhak Rabin,male,Asia
2008,Physics,10000000,10926573,Yoichiro Nambu,male,Asia
2016,Physiology or Medicine,8000000,8301051,Yoshinori Ohsumi,male,Asia
1986,Chemistry,2000000,4098361,Yuan T. Lee,male,Asia
2005,Chemistry,10000000,11711430,Yves Chauvin,male,Europe
2000,Physics,9000000,11333109,Zhores Alferov,male,Europe
1980,Chemistry,880000,2889667,Frederick Sanger,male,Europe
1944,Peace,121841,2510460,International Committee of the Red Cross,,
1972,Physics,480000,3345725,John Bardeen,male,North America
1954,Chemistry,181647,2640218,Linus Pauling,male,North America
1911,Chemistry,140695,7327865,Marie Curie,female,Europe
1981,Peace,1000000,2929688,Office of the United Nations High Commissioner for Refugees,,
1963,Peace,265000,2839286,International Committee of the Red Cross,,
