awardYear,category,prizeAmount,prizeAmountAdjusted,name,gender,birth_continent
1901,Physiology or Medicine,150782,8567159,Emil von Behring,male,Europe
1959,Physics,220678,2704387,Emilio Segrè,male,Europe
1946,Peace,121524,2503929,Emily Greene Balch,female,North America
1938,Physics,155077,4543271,Enrico Fermi,male,Europe
2014,Chemistry,8000000,8379888,Eric Betzig,male,North America
2001,Physics,10000000,12295082,Eric Cornell,male,North America
1995,Physiology or Medicine,7200000,9278351,Eric F. Wieschaus,male,North America
2000,Physiology or Medicine,9000000,11333109,Eric Kandel,male,Europe
2007,Economic Sciences,10000000,11301989,Eric S. Maskin,male,North America
1931,Literature,173206,5238085,Erik Axel Karlfeldt,male,Europe
1954,Literature,181647,2640218,Ernest Hemingway,male,North America
1939,Physics,148822,4227898,Ernest Lawrence,male,North America
1908,Chemistry,139800,7084459,Ernest Rutherford,male,Oceania
1951,Physics,167612,2686090,Ernest T.S. Walton,male,Europe
1907,Peace,138796,7033581,Ernesto Teodoro Moneta,male,Europe
1945,Physiology or Medicine,121333,2499993,Ernst B. Chain,male,Europe
1973,Chemistry,510000,3331882,Ernst Otto Fischer,male,Europe
1986,Physics,2000000,4098361,Ernst Ruska,male,Europe
1991,Physiology or Medicine,6000000,8673863,Erwin Neher,male,Europe
1933,Physics,170332,5413093,Erwin Schrödinger,male,Europe
2019,Economic Sciences,9000000,9000000,Esther Duflo,female,Europe
2013,Economic Sciences,8000000,8365867,Eugene F. Fama,male,North America
1936,Literature,159850,4913422,Eugene O'Neill,male,North America
1963,Physics,265000,2839286,Eugene Wigner,male,Europe
1975,Literature,630000,3404179,Eugenio Montale,male,Europe
2012,Peace,8000000,8361204,European Union (EU),,
1974,Literature,550000,3263449,Eyvind Johnson,male,Europe
2016,Physics,8000000,8301051,F. Duncan M. Haldane,male,Europe
1995,Chemistry,7200000,9278351,F. Sherwood Rowland,male,North America
1993,Peace,6700000,9044276,F.W. de Klerk,male,Africa
1952,Physics,171135,2546652,Felix Bloch,male,Europe
1964,Physiology or Medicine,273000,2828039,Feodor Lynen,male,Europe
1909,Physics,139800,7084459,Ferdinand Braun,male,Europe
1927,Peace,126501,3593778,Ferdinand Buisson,male,Europe
1998,Physiology or Medicine,7600000,9713701,Ferid Murad,male,North America
2004,Economic Sciences,10000000,11762861,Finn E. Kydland,male,Europe
2018,Chemistry,9000000,9000000,Frances H. Arnold,female,North America
1962,Physiology or Medicine,257220,2836985,Francis Crick,male,Europe
1922,Chemistry,122483,3145967,Francis W. Aston,male,Europe
1985,Economic Sciences,1800000,3843964,Franco Modigliani,male,Europe
2013,Physics,8000000,8365867,François Englert,male,Europe
1965,Physiology or Medicine,282000,2782895,François Jacob,male,Europe
1952,Literature,171135,2546652,François Mauriac,male,Europe
2008,Physiology or Medicine,10000000,10926573,Françoise Barré-Sinoussi,female,Europe
1929,Peace,172760,4907955,Frank B. Kellogg,male,North America
2004,Physics,10000000,11762861,Frank Wilczek,male,North America
1939,Literature,148822,4227898,Frans Eemil Sillanpää,male,Europe
1935,Chemistry,159917,4997406,Frédéric Joliot,male,Europe
1904,Literature,140859,7767960,Frédéric Mistral,male,Europe
1901,Peace,150782,8567159,Frédéric Passy,male,Europe
1954,Physiology or Medicine,181647,2640218,Frederick C. Robbins,male,North America
1923,Physiology or Medicine,114935,3169164,Frederick G. Banting,male,North America
1995,Physics,7200000,9278351,Frederick Reines,male,North America
1958,Chemistry,214559,2646698,Frederick Sanger,male,Europe
1921,Chemistry,121573,2532771,Frederick Soddy,male,Europe
1908,Peace,139800,7084459,Fredrik Bajer,male,Europe
1922,Peace,122483,3145967,Fridtjof Nansen,male,Europe
1931,Chemistry,173206,5238085,Friedrich Bergius,male,Europe
1974,Economic Sciences,550000,3263449,Friedrich von Hayek,male,Europe
1947,Peace,146115,2914528,Friends Service Council,,
1953,Physics,175293,2567769,Frits Zernike,male,Europe
1918,Chemistry,138198,2847486,Fritz Haber,male,Europe
1953,Physiology or Medicine,175293,2567769,Fritz Lipmann,male,Europe
1923,Chemistry,114935,3169164,Fritz Pregl,male,Europe
1982,Literature,1150000,3102518,Gabriel García Márquez,male,South America
1908,Physics,139800,7084459,Gabriel Lippmann,male,Europe
1945,Literature,121333,2499993,Gabriela Mistral,female,South America
2000,Literature,9000000,11333109,Gao Xingjian,male,Asia
1992,Economic Sciences,6500000,9184250,Gary Becker,male,North America
1973,Chemistry,510000,3331882,Geoffrey Wilkinson,male,Europe
1961,Physiology or Medicine,250233,2878447,Georg von Békésy,male,Europe
1979,Chemistry,800000,2988048,Georg Wittig,male,Europe
2001,Economic Sciences,10000000,12295082,George A. Akerlof,male,North America
1994,Chemistry,7000000,9249471,George A. Olah,male,Europe
1958,Physiology or Medicine,214559,2646698,George Beadle,male,North America
1925,Literature,118165,3211005,George Bernard Shaw,male,Europe
1953,Peace,175293,2567769,George C. Marshall,male,North America
1980,Physiology or Medicine,880000,2889667,George D. Snell,male,North America
1943,Chemistry,123691,2520876,George de Hevesy,male,Europe
1974,Physiology or Medicine,550000,3263449,George E. Palade,male,Europe
2009,Physics,10000000,10958504,George E. Smith,male,North America
2006,Physics,10000000,11552680,George F. Smoot,male,North America
1988,Physiology or Medicine,2500000,4645689,George H. Hitchings,male,North America
1934,Physiology or Medicine,162608,5167627,George H. Whipple,male,North America
1982,Economic Sciences,1150000,3102518,George J. Stigler,male,North America
2018,Chemistry,9000000,9000000,George P. Smith,male,North America
1937,Physics,158463,4716161,George Paget Thomson,male,Europe
1967,Chemistry,320000,2843602,George Porter,male,Europe
1934,Physiology or Medicine,162608,5167627,George R. Minot,male,North America
1967,Physiology or Medicine,320000,2843602,George Wald,male,North America
1992,Physics,6500000,9184250,Georges Charpak,male,Europe
1984,Physiology or Medicine,1650000,3782090,Georges J.F. Köhler,male,Europe
1958,Peace,214559,2646698,Georges Pire,male,Europe
1972,Physiology or Medicine,480000,3345725,Gerald M. Edelman,male,North America
1983,Economic Sciences,1500000,3715324,Gerard Debreu,male,Europe
2018,Physics,9000000,9000000,Gérard Mourou,male,Europe
1999,Physics,7900000,10049186,Gerardus 't Hooft,male,Europe
1986,Physics,2000000,4098361,Gerd Binnig,male,Europe
1939,Physiology or Medicine,148822,4227898,Gerhard Domagk,male,Europe
2007,Chemistry,10000000,11301989,Gerhard Ertl,male,Europe
1971,Chemistry,450000,3321850,Gerhard Herzberg,male,Europe
1912,Literature,140476,6753654,Gerhart Hauptmann,male,Europe
1988,Physiology or Medicine,2500000,4645689,Gertrude B. Elion,female,North America
1947,Physiology or Medicine,146115,2914528,Gerty Cori,female,Europe
1963,Literature,265000,2839286,Giorgos Seferis,male,Asia
1906,Literature,138536,7421571,Giosuè Carducci,male,Europe
1963,Chemistry,265000,2839286,Giulio Natta,male,Europe
1951,Chemistry,167612,2686090,Glenn T. Seaborg,male,North America
1979,Physiology or Medicine,800000,2988048,Godfrey N. Hounsfield,male,Europe
2006,Peace,10000000,11552680,Grameen Bank,,
1926,Literature,116960,3273134,Grazia Deledda,female,Europe
2019,Physiology or Medicine,9000000,9000000,Gregg L. Semenza,male,North America
1909,Physics,139800,7084459,Guglielmo Marconi,male,Europe
1974,Economic Sciences,550000,3263449,Gunnar Myrdal,male,Europe
1999,Physiology or Medicine,7900000,10049186,Günter Blobel,male,Europe
1999,Literature,7900000,10049186,Günter Grass,male,Europe
